"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard Error","Lower CI","Upper CI"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","Less than £10,000","16.8","%","3965","0.593650979","15.4","18.19011083"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£10,000 to less than £20,000","13.6","%","6724","0.417709081","12.59","14.55731501"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£20,000 to less than £30,000","14.9","%","4972","0.504958307","13.71","16.08459852"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£30,000 to less than £40,000","17.5","%","3744","0.621593614","16.08","19.0058879"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£40,000 to less than £50,000","16.7","%","2672","0.721564307","15","18.39832486"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","£50,000 or more","18.1","%","5580","0.515002185","16.85","19.27334619"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","All","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","No income stated/Not enough information provided ","14.8","%","5688","0.471428498","13.74","15.95383696"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Asian","ONS 2011  5 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.8","%","1649","0.897198415","13.65","17.86677739"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White British","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.5","%","28476","0.214502657","15","16.01132747"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White Irish","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.3","%","299","2.186647267","12.14","22.42673626"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Gypsy or Irish Traveller","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","10","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other White background","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","18.6","%","1427","1.03060759","16.2","21.05028845"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black Caribbean","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","29.1","%","98","4.589073892","18.32","39.90907506"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black African","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","45","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Asian","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","27.9","%","90","4.729316826","16.81","39.05480966"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Mixed/Multiple ethnic background","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","22.8","%","76","4.813271586","11.49","34.13141123"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Indian","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.4","%","679","1.346850049","11.22","17.55472393"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Pakistani","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","21.9","%","388","2.100677545","16.99","26.8727389"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Bangladeshi","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","11.6","%","123","2.884504721","4.79","18.35786945"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Chinese","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","11.4","%","136","2.720578537","4.96","17.75440229"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Asian background","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.9","%","323","1.924873229","9.37","18.42687571"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black African","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","18.7","%","529","1.695767443","14.73","22.70277419"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black Caribbean","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.7","%","316","1.991861793","10.01","19.38236944"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Black background","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","27.6","%","57","5.919441412","13.66","41.50083665"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Arab","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","10.3","%","83","3.336268884","2.45","18.14611445"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other ethnic group","ONS 2011 18 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.5","%","151","3.089644764","10.2","24.73119666"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black","ONS 2011  5 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","18.0","%","902","1.279868696","15.01","21.03422293"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed","ONS 2011  5 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","27.9","%","309","2.55083782","21.88","33.87702635"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Other ","ONS 2011  5 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.8","%","234","2.318519033","9.3","20.20935077"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.7","%","30212","0.209442914","15.23","16.21856253"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.7","%","93852","0.115586737","14.47","14.92627095"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","13.2","%","6167","0.431245619","12.37","14.06065437"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","16.5","%","1837","0.865182305","14.76","18.1557626"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","14.0","%","1991","0.778529673","12.51","15.56429873"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","11.7","%","2339","0.663768675","10.37","12.96741555"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","13.3","%","11548","0.316114739","12.69","13.9313667"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","10.9","%","1838","0.728189515","9.52","12.37111013"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","11.7","%","1822","0.751624614","10.18","13.12373678"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","14.4","%","3657","0.580719","13.27","15.54701334"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","15.8","%","2236","0.772055026","14.32","17.34906831"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","11.3","%","1995","0.7092019","9.92","12.7043773"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","14.9","%","8749","0.380552911","14.14","15.63227825"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","17.3","%","1838","0.882218336","15.57","19.02643086"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","9.2","%","1938","0.657215543","7.93","10.50928444"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","18.0","%","1912","0.878738984","16.28","19.72877237"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","14.1","%","3061","0.628352934","12.83","15.2950541"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","16.2","%","8881","0.390540476","15.39","16.92091281"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","13.1","%","1866","0.780872526","11.56","14.62272924"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","20.5","%","1692","0.980726679","18.54","22.38254917"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","13.8","%","1878","0.796997969","12.28","15.40850518"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","19.8","%","1689","0.969465694","17.89","21.69137662"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","15.0","%","1756","0.853230747","13.38","16.72054767"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","14.6","%","8625","0.379700074","13.81","15.29685349"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","12.7","%","1997","0.74466536","11.22","14.14184614"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","15.0","%","1826","0.835102941","13.34","16.61461991"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","11.6","%","1833","0.747251113","10.11","13.03959802"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","17.6","%","2969","0.698591578","16.21","18.94951773"
